member_code,position_id,upline_id,upline_code,referrer_id,referrer_code,self_pt,status,force_active
10492201,800,1075,39333303,1073,39333301,0,withdrawn,False
10749901,803,1360,72395502,1359,72395501,0,withdrawn,False
11005201,810,1575,99922101,1169,48344003,0,withdrawn,False
11583401,813,1362,72612801,1134,44504701,0,withdrawn,False
11934401,816,1045,34637001,858,15226301,0,withdrawn,False
12226601,819,1740,25067802,1564,98274001,0,withdrawn,False
12564301,825,880,16521702,879,16521701,0,withdrawn,False
13229201,830,973,26621002,1295,65708001,0,autoship,False
13341801,834,1296,65708002,869,15978301,0,withdrawn,False
14076701,841,1103,42165901,938,22482301,0,lapsed,False
14676801,850,972,26621001,869,15978301,0,withdrawn,False
14840001,852,1409,80518201,813,11583401,0,withdrawn,False
15671101,867,1040,34027002,1039,34027001,0,autoship,False
16041701,873,1386,76813001,1073,39333301,0,withdrawn,False
16320001,875,1396,78737401,1359,72395501,0,withdrawn,False
16681401,881,1034,32961801,1525,93713601,150,active,False
16768301,882,916,20312601,940,22482303,0,lapsed,False
17117201,884,1045,34637001,858,15226301,0,withdrawn,False
17448001,888,2357,98254203,1563,98254201,150,active,False
18951801,900,1231,57403101,1482,89144401,0,withdrawn,False
19061001,901,1376,75292601,1073,39333301,0,withdrawn,False
19476001,906,1121,43299101,940,22482303,150,active,False
20312601,916,1367,72911503,1365,72911501,150,active,False
20508701,919,831,13229202,869,15978301,0,withdrawn,False
21402301,926,958,25141501,870,15978302,0,active,False
21541901,933,1188,50030001,1525,93713601,150,active,False
22482301,938,1273,62777901,1455,86820601,150,active,False
22723101,943,1283,64150101,1484,89248801,0,active,False
22938201,945,973,26621002,972,26621001,150,active,False
23870601,948,2307,92646603,1016,30841701,0,withdrawn,False
25141501,958,870,15978302,869,15978301,0,active,False
25408101,963,1045,34637001,858,15226301,0,withdrawn,False
26083901,967,854,14857602,1525,93713601,0,active,False
27130901,979,1116,42899401,1172,48598901,0,withdrawn,False
27427401,984,919,20508701,869,15978301,0,withdrawn,False
28066801,990,996,28661501,957,25067801,0,withdrawn,False
28116301,991,1074,39333302,1073,39333301,0,lapsed,False
28194401,993,1672,18239802,1527,93713603,150,active,False
28426401,995,1231,57403101,1482,89144401,0,withdrawn,False
28661501,996,1511,91827101,957,25067801,0,withdrawn,False
28778201,997,1570,99373801,957,25067801,0,withdrawn,False
30264601,1012,1014,30453702,940,22482303,0,active,False
30778401,1015,1444,85464801,869,15978301,0,withdrawn,False
31137601,1022,961,25405501,877,16391502,0,withdrawn,False
31490801,1024,1147,46333702,1146,46333701,0,withdrawn,False
31813401,1026,1139,45446001,879,16521701,0,withdrawn,False
31947701,1028,888,17448001,1563,98254201,0,withdrawn,False
32220701,1030,1329,68934402,1328,68934401,0,withdrawn,False
32647101,1032,1394,78108601,1169,48344003,150,active,False
32961801,1034,1159,47356802,1158,47356801,150,active,False
32988801,1035,1499,90859701,858,15226301,0,withdrawn,False
36180901,1054,1188,50030001,1172,48598901,0,withdrawn,False
37199001,1055,1159,47356802,1158,47356801,0,withdrawn,False
38287001,1064,869,15978301,1484,89248801,0,withdrawn,False
38406901,1065,850,14676801,869,15978301,0,withdrawn,False
39920901,1081,1075,39333303,1073,39333301,0,withdrawn,False
40436801,1088,1458,86820604,1484,89248801,0,withdrawn,False
40506001,1089,1396,78737401,1359,72395501,0,withdrawn,False
40727701,1092,1160,47356803,1158,47356801,150,active,False
41198701,1096,1293,65466502,998,28802201,0,withdrawn,False
41796301,1101,1116,42899401,1158,47356801,0,active,False
42165901,1103,1441,85129301,939,22482302,0,active,False
42722701,1112,1550,96560402,1527,93713603,0,withdrawn,False
42845501,1114,1283,64150101,1134,44504701,150,autoship,False
42899401,1116,1188,50030001,1158,47356801,0,withdrawn,False
43299101,1121,1042,34243301,938,22482301,0,active,False
43341401,1122,1293,65466502,998,28802201,0,withdrawn,False
43846001,1127,1314,67627901,1073,39333301,0,withdrawn,False
44109701,1129,1116,42899401,1525,93713601,0,withdrawn,False
44127601,1130,854,14857602,853,14857601,0,withdrawn,False
44146101,1131,892,18293401,858,15226301,0,lapsed,False
44356701,1133,1438,84834901,1324,68673601,0,withdrawn,False
45281101,1138,1376,75292601,1073,39333301,0,withdrawn,False
45447801,1140,1211,54418202,1210,54418201,150,active,False
45697201,1143,939,22482302,938,22482301,150,active,False
46251301,1145,1270,62350401,1539,95446801,0,withdrawn,False
46469101,1152,1040,34027002,1039,34027001,0,withdrawn,False
46785901,1155,1528,93713604,1525,93713601,150,active,False
48344001,1167,1528,93713604,1134,44504701,150,active,False
48743801,1176,1571,99384501,939,22482302,150,active,False
49512501,1184,1277,63537401,1385,76348703,150,active,False
50030001,1188,1034,32961801,1172,48598901,150,active,False
50473101,1193,985,27524001,1564,98274001,0,withdrawn,False
53458701,1201,1344,70379301,1527,93713603,0,active,False
53689001,1206,1074,39333302,1073,39333301,0,withdrawn,False
54240701,1208,1519,92863602,939,22482302,150,active,False
56105501,1223,1075,39333303,1073,39333301,0,withdrawn,False
56847301,1228,1332,69319501,1168,48344002,0,withdrawn,False
58054201,1233,1173,48598902,1172,48598901,0,active,False
58253801,1235,1156,46953701,813,11583401,0,withdrawn,False
58795401,1238,952,24230102,951,24230101,0,withdrawn,False
59845201,1244,1409,80518201,1107,42587701,0,withdrawn,False
62114701,1265,1233,58054201,1172,48598901,150,active,False
62350401,1270,1114,42845501,1484,89248801,0,withdrawn,False
62777901,1273,1088,40436801,1418,82179501,0,withdrawn,False
63634201,1278,1282,64072801,939,22482302,0,withdrawn,False
63787601,1280,1386,76813001,1304,66415901,0,withdrawn,False
64072801,1282,1318,67998201,1571,99384501,150,active,False
65895901,1300,1233,58054201,1525,93713601,150,active,False
66348701,1302,1533,94273401,1525,93713601,0,active,False
67627901,1314,991,28116301,1073,39333301,0,withdrawn,False
67812701,1317,1212,54418203,1210,54418201,300,active,False
67998201,1318,1176,48743801,1143,45697201,0,withdrawn,False
68419201,1320,890,17982101,1571,99384501,0,withdrawn,False
68532401,1323,915,20045301,1016,30841701,150,active,False
68791101,1327,1393,77881701,1484,89248801,150,active,False
69299501,1331,1238,58795401,951,24230101,0,withdrawn,False
69319501,1332,1211,54418202,1168,48344002,0,withdrawn,False
69571901,1334,892,18293401,858,15226301,0,active,False
69786001,1336,1528,93713604,1525,93713601,150,active,False
69916301,1337,1159,47356802,1525,93713601,0,active,False
69969301,1338,1533,94273401,1525,93713601,0,withdrawn,False
70212901,1342,1336,69786001,1528,93713604,0,active,False
70379301,1344,1672,18239802,1527,93713603,0,active,False
70431701,1345,1350,71492901,858,15226301,150,active,False
71117201,1349,1277,63537401,1385,76348703,150,active,False
71492901,1350,819,12226601,858,15226301,0,active,False
71494701,1351,1403,79957101,1393,77881701,150,active,False
72877901,1364,981,27414701,1167,48344001,0,withdrawn,False
72911501,1365,2356,98254202,938,22482301,150,active,False
74916201,1374,985,27524001,1564,98274001,0,active,False
75292601,1376,991,28116301,1073,39333301,0,active,False
76813001,1386,1074,39333302,1073,39333301,0,withdrawn,False
77881701,1393,1283,64150101,1134,44504701,150,active,False
78281801,1395,1326,68673603,1324,68673601,0,withdrawn,False
79957101,1403,1398,78996401,1393,77881701,150,active,False
81035901,1410,1208,54240701,939,22482302,0,withdrawn,False
81355101,1412,1139,45446001,1324,68673601,0,withdrawn,False
83191401,1427,892,18293401,858,15226301,0,active,False
83219701,1428,1172,48598901,1525,93713601,150,active,False
84834901,1438,880,16521702,879,16521701,0,withdrawn,False
85409701,1443,1412,81355101,1324,68673601,0,withdrawn,False
85509101,1446,1160,47356803,1158,47356801,150,active,False
85791501,1449,860,15226303,1383,76348701,150,active,False
86062501,1450,1314,67627901,1073,39333301,0,withdrawn,False
86820601,1455,1087,40431001,1134,44504701,150,active,False
88323401,1469,1470,88379001,940,22482303,150,active,False
88379001,1470,1366,72911502,1365,72911501,150,active,False
88494601,1472,1160,47356803,1158,47356801,0,active,False
90058701,1492,993,28194401,1527,93713603,150,active,False
90327801,1494,1422,82709001,869,15978301,0,active,False
90859701,1499,902,19304201,1564,98274001,0,withdrawn,False
91111001,1501,1222,55686102,1114,42845501,0,withdrawn,False
91520301,1505,1540,95478201,1484,89248801,0,withdrawn,False
91730101,1509,991,28116301,1073,39333301,0,withdrawn,False
91742901,1510,2307,92646603,1016,30841701,150,active,False
91827101,1511,1232,57697401,858,15226301,150,active,False
92703301,1516,1360,72395502,1359,72395501,150,active,False
94273401,1533,1173,48598902,1172,48598901,0,withdrawn,False
95446801,1539,1418,82179501,1484,89248801,0,active,True
95478201,1540,813,11583401,1134,44504701,0,active,False
95579401,1541,832,13229203,1295,65708001,0,autoship,False
96183101,1545,982,27414702,1167,48344001,0,lapsed,False
96567001,1551,1295,65708001,869,15978301,0,active,False
96913901,1555,832,13229203,973,26621002,0,withdrawn,False
98254201,1563,940,22482303,938,22482301,0,active,False
98583901,1566,1009,30144401,1158,47356801,0,withdrawn,False
98770301,1567,1469,88323401,940,22482303,0,withdrawn,False
99373801,1570,1335,69773101,957,25067801,0,active,False
99384501,1571,1215,54598702,1143,45697201,0,withdrawn,False
99838201,1574,1009,30144401,1158,47356801,0,withdrawn,False
99953901,1576,1673,18239803,1527,93713603,0,active,False
